wallet,moca_id,moca_xp,week
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,960,60.0,8
0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,994,33.6,8
0x92373997819b0e4529be7988eea4bedd4d276f74,1002,108.8,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1004,76.8,8
0xea9aaa635142aae3c710986f7be0a18ba02efb41,1009,78.4,8
0xea9aaa635142aae3c710986f7be0a18ba02efb41,1010,94.4,8
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,1018,72.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1020,108.8,8
0xf22191f4b25fe5548acffc551bb87485b88a58f2,1026,77.0,8
0xdaf8313d766a62b5271a446b7e03d45ffb000490,1027,108.8,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1038,84.8,8
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,1046,108.8,8
0xa15dbef1c56c59b96c4d585ba69a554842e8a63b,1052,67.2,8
0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,1067,68.0,8
0x8b2abf9618cb3899b8459de211eadf53598245ad,1078,121.8,8
0x88d8d8c2e9a29177a4a8d6755b3870e6720ee6a6,1085,90.0,8
0x7201ad662c2f3808fc364ee62b9b31a6d8053ed4,1088,106.8,8
0xba943f9a82e378eac5c33bbc92263e82ee64f50b,1089,76.8,8
0xdd22de8b55cc572d889a0b9edf114ce746126c49,1099,68.8,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,1106,76.8,8
0xda1e9c631ace798036d2650f0283e63bc546f213,1120,60.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1121,108.8,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1124,108.8,8
0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e,1134,80.0,8
0xda1e9c631ace798036d2650f0283e63bc546f213,1139,102.4,8
0x6b1b0419aab8cee190cdb37a50e75545ea0500c7,1147,24.0,8
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1149,90.0,8
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1150,80.0,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,1157,108.8,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1159,83.2,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1169,76.8,8
0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,1170,92.8,8
0x554d0c1f3e79b80fa41f9be17d6406d934f76427,1171,94.4,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1177,108.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1178,108.8,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,1187,68.8,8
0x9fed225115a1374c7f0faef307d471c80fff1893,1209,64.0,8
0xf57f7876d07adf68b2d33a4e033d80cb3543d6df,1214,72.0,8
0xbc5e44596816cbe3d45318a3a124f8328c417cde,1217,97.0,8
0xbc5e44596816cbe3d45318a3a124f8328c417cde,1218,104.0,8
0x8195a56a4a74f42787a67a4d6f9d4fb3cc56a38f,1227,80.0,8
0xae5252b7d6603af2fa284e565a11e3175ef84a9c,1258,68.8,8
0x6319e7820dcbebf9d342dc5676e6c7f583b544c6,1261,93.0,8
0x6319e7820dcbebf9d342dc5676e6c7f583b544c6,1262,80.0,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,1263,102.8,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,1296,108.8,8
0x5307da2782c2641180abd2b92b647c4245ea65c7,1300,80.0,8
0xd1a18f6aa5bc2b4928c313f1bdbe9f5799f1a2db,1302,56.0,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,1307,108.8,8
0x3018c8ad9b0b5e217e31ee70752b6c6032251cc2,1314,93.0,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1317,79.2,8
0xffc9a5ecf39dba2bf0b8b2c4d843bfd70b1a6082,1318,68.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1320,108.8,8
0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,1327,84.8,8
0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,1328,94.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1329,108.8,8
0xba943f9a82e378eac5c33bbc92263e82ee64f50b,1330,76.8,8
