wallet,moca_id,moca_xp,tribe,week
0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,1467,75.2,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3260,96.0,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3529,108.8,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,3530,108.8,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,4483,96.0,angel,8
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5207,96.0,angel,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5286,92.8,angel,8
0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5287,105.8,angel,8
0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,6001,68.8,angel,8
0xc70fe10cdf99151ffe9b2e24ee1da97fb780714b,1781,84.8,angel,8
0xf72ccff19ad94a6ecb096ddf8c35c7ff6fab7c28,3175,93.0,angel,8
0x82636b0d51ed02132d445d3c32a57280a0625053,6059,93.0,angel,8
0x82636b0d51ed02132d445d3c32a57280a0625053,6060,80.0,angel,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,1077,84.8,angel,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,4652,92.8,angel,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,4653,92.8,angel,8
0x4daf440bb1ec17628dad45ed45b726759a99271a,1664,93.0,angel,8
0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2393,100.0,angel,8
0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2394,80.0,angel,8
0xb0481e4d9513924d3eef075781794ea81b14e0f7,2431,93.0,angel,8
0xb0481e4d9513924d3eef075781794ea81b14e0f7,2432,80.0,angel,8
0x6d2fa2c2cb2f224ef49f87d57083741afcf12d91,6423,108.8,angel,8
0x6d2fa2c2cb2f224ef49f87d57083741afcf12d91,6424,108.8,angel,8
0x6d2fa2c2cb2f224ef49f87d57083741afcf12d91,6435,108.8,angel,8
0x6d2fa2c2cb2f224ef49f87d57083741afcf12d91,6436,108.8,angel,8
0x3cac7e12dc3bae6ebe2909c82addb04da4cc340b,1663,93.0,angel,8
0x6e61851aa4312e1bea08e63ef6037c55758fb34c,1804,84.8,angel,8
0x9ad490c68cea1573abb4db1af128949ed2325777,1054,84.8,angel,8
0x4a791828f3b69c760b111cfcbcc20b1f93f4f3b5,1571,64.0,angel,8
0xe488fbac4a5c9b35325343a1c56723450e427d69,2895,72.8,angel,8
0x554d0c1f3e79b80fa41f9be17d6406d934f76427,6525,94.4,angel,8
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,3678,118.4,angel,8
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,2830,106.4,angel,8
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5252,106.4,angel,8
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5253,106.4,angel,8
0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,6203,126.4,angel,8
0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,1066,108.8,angel,8
0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,4193,92.8,angel,8
0x392b0b4b2fb56f12512dfc8ad9f5c9643dfeab45,1626,87.0,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1135,95.2,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1136,95.2,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1189,95.2,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1329,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1893,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,2858,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,2859,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,3496,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,3576,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,3989,64.0,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4121,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4122,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4167,96.0,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4251,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,4771,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,5199,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,6006,95.2,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,6314,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,6353,16.0,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,6514,108.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,6548,76.8,angel,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,6600,95.2,angel,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,1455,108.8,angel,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,2043,86.4,angel,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,3951,108.8,angel,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,3952,108.8,angel,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,4384,108.8,angel,8
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,4385,108.8,angel,8
0xd589286a2c8e633a7c1c3adbbc19e53c790932c6,3573,64.0,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1864,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1865,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1968,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2345,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2502,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2946,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,3084,76.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,3986,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,4482,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,4485,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,4486,108.8,angel,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5513,108.8,angel,8
0xc2ba2b009a9a8f12fdabed184412120fb072d620,4914,78.4,angel,8
0x47b6e4cefa215b4878d658d4d5b8a168ffe3e645,3326,84.8,angel,8
0x03fc99a0cb721329a57e6610a1ec825c18f02dab,5641,72.0,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,1058,80.0,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,2145,108.8,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,2160,12.8,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,2278,108.8,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,3251,108.8,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,3252,108.8,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,4684,92.8,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,4951,92.8,angel,8
0x828702fc0c977f0b347c998c107df77618f85e87,6629,108.8,angel,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,1729,108.8,angel,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,3927,92.8,angel,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4716,108.8,angel,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4827,108.8,angel,8
0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,4828,108.8,angel,8
0x947a518695f63096650e7bfd421fd9be8b38be3a,1728,108.8,angel,8
0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,2503,108.8,angel,8
0x18f6de4643248aa65a090c1d3546ec7a9eb5cdc6,2851,92.8,angel,8
0x8202d20d5806bc6c860344800e2c829d10278d66,4715,40.0,angel,8
0xa28ef9ab58ae6d14c23f8855852346c9510e49a3,4319,108.8,angel,8
0x92373997819b0e4529be7988eea4bedd4d276f74,3194,92.8,angel,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,3367,92.8,angel,8
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,4252,92.8,angel,8
0x717d4e42f1a889bdacdbe8f01c3a3ace0b0ff0bd,4164,52.8,angel,8
0x4be2ee779fbfdee5409ff3e28ab50d0d55101558,2447,93.0,angel,8
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,960,60.0,angel,8
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,2198,88.0,angel,8
0xdbb9d557191501fd2cadf5a9fd80845f162d20dd,3839,33.6,angel,8
0xdbb9d557191501fd2cadf5a9fd80845f162d20dd,3840,97.8,angel,8
0xc74c9d67fa6020debd5963669b87327ab7f14a1e,2156,80.0,angel,8
0xc74c9d67fa6020debd5963669b87327ab7f14a1e,2157,100.0,angel,8
0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963,3290,111.8,angel,8
0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963,3291,80.8,angel,8
0x4c9d50ccac81b7473c222845531dc37f1c416166,3195,68.8,angel,8
0xe53ee538b6ad601fa384c00deac8d07fa6eef3ce,4299,80.0,angel,8
0x1d8eb73488dd8a04190258bd2a42b0e7ceafe322,4298,80.0,angel,8
0xae5252b7d6603af2fa284e565a11e3175ef84a9c,1258,68.8,angel,8
0x2f848200d1ade8b74b108e4aaa81c85f00c40a97,5509,49.6,angel,8
0x1cd50df53ea17c2b98a18fd65de2df173339296e,2288,93.0,angel,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,901,88.8,angel,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,905,88.8,angel,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,4640,62.4,angel,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,6531,49.6,angel,8
0x622b02af44e1ab16ee5fffdb61b4e2bd1cebd9e4,3427,72.0,angel,8
0x9fed225115a1374c7f0faef307d471c80fff1893,1358,66.4,angel,8
0x9fed225115a1374c7f0faef307d471c80fff1893,1695,65.6,angel,8
0x9fed225115a1374c7f0faef307d471c80fff1893,2991,66.4,angel,8
0x9fed225115a1374c7f0faef307d471c80fff1893,3234,80.0,angel,8
0x9fed225115a1374c7f0faef307d471c80fff1893,3428,61.0,angel,8
0x9fed225115a1374c7f0faef307d471c80fff1893,4891,80.0,angel,8
0x9fed225115a1374c7f0faef307d471c80fff1893,6457,66.4,angel,8
0x9fed225115a1374c7f0faef307d471c80fff1893,6809,66.4,angel,8
