moca_id,moca_xp,wallet,week
4622,96.0,0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,7
4623,96.0,0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,7
4630,72.0,0x89ab095e65810d1cf3582c52159220cee5ba3bb2,7
4631,72.0,0x89ab095e65810d1cf3582c52159220cee5ba3bb2,7
4640,49.6,0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,7
4654,76.0,0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,7
4656,76.0,0x4c9d50ccac81b7473c222845531dc37f1c416166,7
4657,76.0,0x4c9d50ccac81b7473c222845531dc37f1c416166,7
4702,72.0,0x8340fefd527494022d13e76150dee990d657e35b,7
4715,32.0,0x8202d20d5806bc6c860344800e2c829d10278d66,7
4716,96.0,0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,7
4721,72.0,0xec1885e733c48350bd763aefbc7d2efc432bdc9c,7
4722,72.0,0xec1885e733c48350bd763aefbc7d2efc432bdc9c,7
4729,40.0,0x13027f849d4bb4193b09ba380f0940f389e770b0,7
4735,96.0,0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,7
4736,96.0,0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,7
4768,96.0,0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,7
4769,96.0,0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,7
4770,96.0,0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,7
4771,96.0,0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,7
4773,80.0,0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,7
4779,72.0,0x379d20d18dd21e72463f257804d586e6fcfdbf65,7
4780,72.0,0x379d20d18dd21e72463f257804d586e6fcfdbf65,7
4782,86.0,0x3b0667ab576a6aceb3add15c98db84f51c20e370,7
4810,60.0,0xff5ad07002d876bbb63a17d3f5bab8f63f034e1e,7
4825,80.0,0x49a456fe253d8a423b3d22a428085d9096f3fe61,7
4826,80.0,0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,7
4827,96.0,0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,7
4828,96.0,0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,7
4835,78.4,0xea5f4f4440ff3cc417d09b43d6f8da1f14175846,7
4845,96.0,0x92373997819b0e4529be7988eea4bedd4d276f74,7
4862,96.0,0x2897220823965b28bcb9d7fb3a215be633e377b4,7
4863,72.0,0x5c5c093f9116a2380f19f7af591a190362229cce,7
4864,72.0,0x5c5c093f9116a2380f19f7af591a190362229cce,7
4865,48.0,0x13027f849d4bb4193b09ba380f0940f389e770b0,7
4869,72.0,0xb8c39ba5309443ab4920b834790457a62c47fa35,7
4870,72.0,0xb8c39ba5309443ab4920b834790457a62c47fa35,7
4887,89.2,0xe488fbac4a5c9b35325343a1c56723450e427d69,7
4927,72.0,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,7
4928,72.0,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,7
4946,56.8,0x42f79fb2d6f0ac25fab596408c1b3f8a6d596d8a,7
5012,24.0,0x13027f849d4bb4193b09ba380f0940f389e770b0,7
5015,106.0,0x2897220823965b28bcb9d7fb3a215be633e377b4,7
5017,96.0,0xbc5e44596816cbe3d45318a3a124f8328c417cde,7
5019,83.2,0x6eae0202053c5aef1b57911fec208f08d96050de,7
5031,95.2,0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,7
5052,96.0,0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,7
5091,76.0,0x07525e4ec167102d87d24a76195d6dc22e325635,7
5106,96.0,0x2897220823965b28bcb9d7fb3a215be633e377b4,7
5118,80.0,0x2897220823965b28bcb9d7fb3a215be633e377b4,7
5121,96.0,0x2897220823965b28bcb9d7fb3a215be633e377b4,7
5122,96.0,0x2897220823965b28bcb9d7fb3a215be633e377b4,7
5132,64.0,0xa6b133935e4d9de6a8c7a29f93d6da400a365585,7
5135,96.0,0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,7
5158,96.0,0xdaf8313d766a62b5271a446b7e03d45ffb000490,7
5191,72.0,0xf9a0a378642a93e355473716ceb5b4151df8a09b,7
5192,72.0,0xf9a0a378642a93e355473716ceb5b4151df8a09b,7
5195,72.0,0x97b4b4ac02486ce8b5327b8d86b3688d49b9663d,7
