moca_id,moca_xp,wallet,week
4064,48.0,0x0007550d32a90c2e498b7261139e15ec873e8502,6
5444,64.0,0x0153186f3e40da59021dd51ee04a077bd47295c7,6
5445,64.0,0x0153186f3e40da59021dd51ee04a077bd47295c7,6
1866,64.0,0x03351328843940bb13b014d3acf3debf9fa75525,6
4927,64.0,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,6
4928,64.0,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,6
5207,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5614,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5615,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5858,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5942,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
5968,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
6415,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
6416,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
1643,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
1839,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
1896,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
2481,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3049,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3529,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3530,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3664,83.2,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
3942,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,6
1637,64.0,0xb3012e44cac8fe92704ba59ff25054a710ad179e,6
1638,64.0,0xb3012e44cac8fe92704ba59ff25054a710ad179e,6
5407,64.0,0x06d652917200b7a5516223e0dd3f38b8767e7299,6
5408,64.0,0x06d652917200b7a5516223e0dd3f38b8767e7299,6
6084,32.0,0x06f51a9922ff2d4c9e35557b005c45c4082f8b93,6
2527,64.0,0x090f66847a4dfa167046627150ac9b855dce4119,6
2528,64.0,0x090f66847a4dfa167046627150ac9b855dce4119,6
6564,64.0,0x0955d592269f01376b73bc4a17f29452238f2bf5,6
5262,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
5552,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
5571,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
5636,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
5637,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
5776,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
5849,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
6437,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
2575,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
3226,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
3561,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
3811,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
4273,83.2,0x09ae2739278898ee62a7f6b5721fba993bcd8777,6
5313,83.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
6348,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
6376,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
6410,83.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
1065,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
1553,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
1578,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
1836,83.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
1916,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
1972,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
2106,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
2153,51.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
2177,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
2186,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
2539,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
2587,83.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
2800,83.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
2966,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
3129,67.2,0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6
