wallet,moca_id,moca_xp,week
0x73653035f61f5603c6bef39df972b0d299bd224b,1171,117.2,10
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,2002,138.4,10
0xbe622091b9c7fe76d3ea89a49d21354189f824d5,896,113.0,10
0x5a1c6b926209a865718d7be43055ab747fdafd57,904,117.4,10
0x92373997819b0e4529be7988eea4bedd4d276f74,1002,134.4,10
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1004,105.4,10
0xdaf8313d766a62b5271a446b7e03d45ffb000490,1027,137.4,10
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1038,113.4,10
0x8b2abf9618cb3899b8459de211eadf53598245ad,1078,150.4,10
0x1fd252771bc2dfd38ec774efeeb3c6ab7e8e535b,1087,90.4,10
0x5a1c6b926209a865718d7be43055ab747fdafd57,1106,104.4,10
0xda1e9c631ace798036d2650f0283e63bc546f213,1120,84.0,10
0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,1154,104.4,10
0xda1e9c631ace798036d2650f0283e63bc546f213,1139,126.4,10
0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,1170,120.4,10
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1149,110.0,10
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1150,100.0,10
0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,1153,129.4,10
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1169,104.4,10
0x6d9279450dfae8ee04675442353e4bbeb56065e4,1210,106.0,10
0xbc5e44596816cbe3d45318a3a124f8328c417cde,1217,118.6,10
0xbc5e44596816cbe3d45318a3a124f8328c417cde,1218,132.0,10
0xae5252b7d6603af2fa284e565a11e3175ef84a9c,1258,89.4,10
0xec3cee706c117e65772ed2a5d15746466ae6f0ce,1314,112.0,10
0x6319e7820dcbebf9d342dc5676e6c7f583b544c6,1261,112.0,10
0x6319e7820dcbebf9d342dc5676e6c7f583b544c6,1262,99.0,10
0x5a1c6b926209a865718d7be43055ab747fdafd57,1296,138.4,10
0xffc9a5ecf39dba2bf0b8b2c4d843bfd70b1a6082,1318,90.4,10
0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,1328,116.4,10
0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,1327,106.4,10
0x1045a365e491cae755241eef520b2498dda336e1,1357,83.0,10
0x410a20d45edbb4415a5981be8d559676b8100e57,1392,104.4,10
0xddeA96Ea9f57e9C22a7A88022d8989921483e1Fd,1398,102.4,10
0x9c631c1cc8db5faaf69f709aa4021440aea7bc0b,1409,68.0,10
0x2684da0d2e5c1d1dfeaa8048b4dd7400b4605bf7,1419,106.0,10
0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,1442,115.2,10
0xb0e8af8ddc8480789b37f90689c5bbba2139804c,1443,74.0,10
0xcc614c9c5533e8f8d9dda498e38feb24f19b154e,1486,59.0,10
0xef114fd2e8df2adac9085c70fff1d4e1c4c9b18e,1491,100.0,10
0x92373997819b0e4529be7988eea4bedd4d276f74,1509,118.4,10
0x7af28981429bfaa8084d89b7f9336d16755fd71c,1512,123.0,10
0x58f96c1d46db3a967c7dd33f1a3f0b601745d05b,1515,124.0,10
0xdaf8313d766a62b5271a446b7e03d45ffb000490,1598,138.4,10
0xc912883f4457be8eae99bb0e228f7846108861b6,1602,96.0,10
0xa5e2bb97de3c62ca06f1a2293eb7e01c114e9a49,1620,108.4,10
0x7b2758ef11d152becab8c9aa3f0f7a43c1075ab9,1640,89.6,10
0x3082c1e9bc764b7fab74415e70e595faceddd16f,1659,106.4,10
0x3082c1e9bc764b7fab74415e70e595faceddd16f,1660,106.4,10
0x4daf440bb1ec17628dad45ed45b726759a99271a,1664,112.0,10
0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,1668,90.4,10
