moca_id,tribe,moca_xp,wallet,week
1619,builder,52.8,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5
5614,builder,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5
5615,builder,70.4,0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5
3811,builder,70.4,0x09ae2739278898ee62a7f6b5721fba993bcd8777,5
5413,builder,70.4,0x0afd3629f352560dc5b01d86b68ace1a63bd841c,5
3812,builder,70.4,0x0c96a4c2cec463e7fe45f7b10bf543c16778829f,5
2669,builder,48.0,0x66a1dbcf8812a1b219801b9dcc75af1a39096eb9,5
4702,builder,56.0,0x8340fefd527494022d13e76150dee990d657e35b,5
2068,builder,49.6,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,5
5414,builder,70.4,0x126b4b8a5fb31fb1ec299981fa81666c152cb615,5
4565,builder,70.4,0x1604ae1c62d1302bde8ad8613562958973ad39da,5
4491,builder,40.0,0x19f334f9ff4e6fec21601c46b22e96ad040edcec,5
3261,builder,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
3262,builder,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
4841,builder,63.2,0xa1112524c8aadd762cd4d2a7b3119af3720813e3,5
4842,builder,63.2,0xa1112524c8aadd762cd4d2a7b3119af3720813e3,5
2701,builder,56.0,0x1cbf3b005a908891ff209386381a1e3d97e2978d,5
1153,builder,58.4,0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,5
1154,builder,58.4,0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,5
3370,builder,56.0,0x27c5deca8324cc6e9332db95defa1a951f29452a,5
2670,builder,56.0,0x284a128d905d12505e013b3c078c71e66658afa2,5
3514,builder,40.0,0x299ef927da32633cca2a6c50a67c3c2c8c0cf980,5
2809,builder,70.4,0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5
2810,builder,70.4,0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5
3041,builder,70.4,0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5
3042,builder,70.4,0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5
3540,builder,42.4,0x3082c1e9bc764b7fab74415e70e595faceddd16f,5
2133,builder,56.0,0x32cb344d193c46da6e2cabaced879b1db3768499,5
2373,builder,56.0,0x32d0d915ea7980ea480b1101124ae6f8c12d6d01,5
2374,builder,56.0,0x32d0d915ea7980ea480b1101124ae6f8c12d6d01,5
4782,builder,58.4,0x3b0667ab576a6aceb3add15c98db84f51c20e370,5
1392,builder,38.4,0x410a20d45edbb4415a5981be8d559676b8100e57,5
