moca_id,moca_xp,wallet,week
894,32,0xa79770e7a33f7912e598aaa4c0d81185efce4822,2
897,16,0xaee8212c786c724d5682735d906a7b1e459fef3f,2
932,32,0xa39e6e227bade06d2ce6c881a139ca8a7c3b7c98,2
993,32,0x327c86581e15d6a72207e655216938ef10c78999,2
995,32,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,2
996,32,0xfa6b6986dac281789e6a990eaecd4c5e78b916be,2
1002,32,0x92373997819b0e4529be7988eea4bedd4d276f74,2
1007,32,0x255a61b9c585f2ced567e2161eb0b764fcc3b81d,2
1009,16,0xea9aaa635142aae3c710986f7be0a18ba02efb41,2
1010,32,0xea9aaa635142aae3c710986f7be0a18ba02efb41,2
1012,32,0x1cd5c81f65c568a8e73473784c34964e2412b421,2
1013,32,0x6d5fa9871863c2b080889bcc21e076862685b9a8,2
1014,32,0x6d5fa9871863c2b080889bcc21e076862685b9a8,2
1018,16,0x6313d7948d3491096ffe00dea2d246d588b4d4fc,2
1020,32,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,2
1026,16,0xf22191f4b25fe5548acffc551bb87485b88a58f2,2
1029,32,0xab2dd970e9a4647d4f86e98f902dbdf58c459e66,2
1030,32,0xab2dd970e9a4647d4f86e98f902dbdf58c459e66,2
1031,32,0xab2dd970e9a4647d4f86e98f902dbdf58c459e66,2
1043,16,0x6e61851aa4312e1bea08e63ef6037c55758fb34c,2
1046,32,0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,2
1048,32,0x79c39331bf0d2356db53cee2dc8a5b42cf8dce36,2
1052,16,0xa15dbef1c56c59b96c4d585ba69a554842e8a63b,2
1066,32,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,2
1072,32,0xe00387872306e8dcc82572a7759a17bf11a1cf7c,2
1078,32,0x8b2abf9618cb3899b8459de211eadf53598245ad,2
1087,16,0x1fd252771bc2dfd38ec774efeeb3c6ab7e8e535b,2
1088,32,0x7201ad662c2f3808fc364ee62b9b31a6d8053ed4,2
1097,32,0x45c9235209a06bf8c8596c00b2934cf5aade091e,2
1098,32,0x45c9235209a06bf8c8596c00b2934cf5aade091e,2
1100,16,0xdca1bd903453fdf74845d8952fc54785e6613ced,2
1108,16,0x5e47520588cf68371526f3d1f364090a16dab61a,2
1113,32,0xb2e7f7044a94dd0f9dca56f2e402355d0a0d60e4,2
1115,32,0x5744a7a69d367eb6942548923696990e605cad9c,2
1121,32,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,2
1123,16,0xdaaf3c8f3d6accdef64b814e4267d861cf546391,2
1124,32,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2
1125,32,0xf65c2f04ad3b2bdcf8ba2c836cf4080b7e8349b9,2
1126,32,0x522562cbdb0ecfdbb331f5e753a0300b993618c7,2
1134,32,0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e,2
1137,32,0xa79770e7a33f7912e598aaa4c0d81185efce4822,2
1139,32,0xda1e9c631ace798036d2650f0283e63bc546f213,2
1149,32,0xbe949adac94b2a046b3e86a0c14ca69591c5621a,2
1150,32,0xbe949adac94b2a046b3e86a0c14ca69591c5621a,2
1153,32,0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,2
1154,32,0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,2
1157,32,0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,2
1164,32,0xa886bc501a3b6ce40c26c6a87422109763e7dbc8,2
1167,32,0xbcfe268b5033f77c5ff99748a0d0ed4c439cf7f1,2
1171,32,0x554d0c1f3e79b80fa41f9be17d6406d934f76427,2
1177,32,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,2
1178,32,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,2
1188,32,0x26968956870fef85086f06b7d221314581153215,2
1197,32,0xca8edf32dd9fcb9cdb3346accb24ebc03686fcfb,2
1198,32,0x89d5ac566d4d0bf14dad8b0531dd4b3de47f9424,2
1207,32,0x2eb506d25cd53a205cdc0c94d4a6aa71624f3a89,2
1217,32,0xbc5e44596816cbe3d45318a3a124f8328c417cde,2
1218,32,0xbc5e44596816cbe3d45318a3a124f8328c417cde,2
1224,32,0xf65c2f04ad3b2bdcf8ba2c836cf4080b7e8349b9,2
1225,32,0x5d6f3d0c92d0564151357b0863e55e9ed4631b8d,2
1226,32,0x5d6f3d0c92d0564151357b0863e55e9ed4631b8d,2
1227,32,0x8195a56a4a74f42787a67a4d6f9d4fb3cc56a38f,2
1230,16,0x36cdffb3165f39714455118262f5ff3ed1d4c7e1,2
1240,16,0x522562cbdb0ecfdbb331f5e753a0300b993618c7,2
1251,16,0x9fed225115a1374c7f0faef307d471c80fff1893,2
1252,32,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,2
1253,32,0xec746d83a6dae16e4af5eacd6bd9d3e91d070fe0,2
1258,16,0xae5252b7d6603af2fa284e565a11e3175ef84a9c,2
1261,32,0x6319e7820dcbebf9d342dc5676e6c7f583b544c6,2
1262,32,0x6319e7820dcbebf9d342dc5676e6c7f583b544c6,2
1263,16,0xdf087c9fe7f42e45b66fa22be028ad50e4c90234,2
1270,16,0xe77e6594706a08177f4212217d46a13561bf5dcd,2
1271,32,0xaaaecf060bf76495d21afc3ea2742b9da979befd,2
1273,32,0xb7162dd79c1f0802d1b4826ac06dad4359bc3aa2,2
1274,32,0xf65c2f04ad3b2bdcf8ba2c836cf4080b7e8349b9,2
1293,32,0xb98bf34814687f7f8fc344bbe0ada1b550434b50,2
1294,32,0xb98bf34814687f7f8fc344bbe0ada1b550434b50,2
1300,32,0x5307da2782c2641180abd2b92b647c4245ea65c7,2
1307,32,0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,2
1314,32,0xec3cee706c117e65772ed2a5d15746466ae6f0ce,2
1315,32,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,2
1316,32,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,2
1318,16,0xffc9a5ecf39dba2bf0b8b2c4d843bfd70b1a6082,2
1320,32,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,2
1327,32,0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,2
1328,32,0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,2
1329,32,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,2
1355,16,0x9bc6a425d0d5fea6005400052ee679b30b1e2dee,2
1356,16,0x9bc6a425d0d5fea6005400052ee679b30b1e2dee,2
1357,16,0x1045a365e491cae755241eef520b2498dda336e1,2
1362,32,0x1584df90cb8ffda66d0d3b6b64ef7bfbdca191b8,2
1375,32,0x828702fc0c977f0b347c998c107df77618f85e87,2
1382,32,0x57bc43ffb972f3c6d687240a856a261ca133e4e5,2
1383,32,0x57bc43ffb972f3c6d687240a856a261ca133e4e5,2
1389,32,0x3a43525a3873d7fb415cff57613d22ed5ccfa368,2
1394,32,0x15fd28fd3a646702455d6ec6c5af7075550c095d,2
1398,32,0xe7bdafa518bdd898ec3312b0cc32cd6f59567b91,2
1404,32,0x07d5f53b68e772e98b732beb5116b4fd38261cbb,2
1406,16,0xbb387babe4651bc7829bb80fe764ea37c4ce1f8e,2
1412,32,0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,2
1419,32,0x2684da0d2e5c1d1dfeaa8048b4dd7400b4605bf7,2
1423,32,0x54b43d82bb4d93ca29a71ef1c4277c05cd33efa5,2
1430,32,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,2
1431,32,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2
1442,32,0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,2
1455,32,0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,2
