wallet,moca_id,moca_xp,week
0x327c86581e15d6a72207e655216938ef10c78999,993,80.0,8
0x25c53e7da97cddb8f7943fba9f9ff569b84a261a,994,33.6,8
0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,995,108.8,8
0x92373997819b0e4529be7988eea4bedd4d276f74,1002,108.8,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1004,76.8,8
0xea9aaa635142aae3c710986f7be0a18ba02efb41,1009,78.4,8
0xea9aaa635142aae3c710986f7be0a18ba02efb41,1010,94.4,8
0x1cd5c81f65c568a8e73473784c34964e2412b421,1012,84.8,8
0x6313d7948d3491096ffe00dea2d246d588b4d4fc,1018,72.0,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1020,108.8,8
0xdaf8313d766a62b5271a446b7e03d45ffb000490,1027,108.8,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1038,84.8,8
0xbd1cc7c77fc8e1171c2f0666835e1dcb8462ae68,1041,90.0,8
0xbd1cc7c77fc8e1171c2f0666835e1dcb8462ae68,1042,80.0,8
0xc886db8b8cd260f5ee38ba3d8f8e9324ee27ea33,1046,108.8,8
0xa15dbef1c56c59b96c4d585ba69a554842e8a63b,1052,67.2,8
0x828702fc0c977f0b347c998c107df77618f85e87,1058,80.0,8
0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,1066,108.8,8
0x63a4d06f9fff6430de3a7b0afb5cf070888fb500,1067,68.0,8
0xaa87190076675da8d3496da24b0c3bbfa1e56396,1077,84.8,8
0x8b2abf9618cb3899b8459de211eadf53598245ad,1078,121.8,8
0xcc2c8d8f1866fc01e2d04cf69d5aa4bb15d3a7cf,1079,76.8,8
0x904b3fa339298296cc1e3e5da0b06c83fd263481,1081,48.0,8
0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,1083,108.8,8
0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,1084,108.8,8
0x88d8d8c2e9a29177a4a8d6755b3870e6720ee6a6,1085,90.0,8
0xb663d5ba61842314c6c9011102e8baddb282487d,1086,80.0,8
0x7201ad662c2f3808fc364ee62b9b31a6d8053ed4,1088,106.8,8
0xba943f9a82e378eac5c33bbc92263e82ee64f50b,1089,76.8,8
0xa0c6e86e59e3f2b2e58b4893cc371a2d71188d76,1092,108.8,8
0x717d4e42f1a889bdacdbe8f01c3a3ace0b0ff0bd,1093,68.8,8
0x5a1c6b926209a865718d7be43055ab747fdafd57,1106,76.8,8
0xb2e7f7044a94dd0f9dca56f2e402355d0a0d60e4,1113,89.6,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1121,108.8,8
0xdaaf3c8f3d6accdef64b814e4267d861cf546391,1123,64.0,8
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1124,108.8,8
0x522562cbdb0ecfdbb331f5e753a0300b993618c7,1126,108.8,8
0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e,1134,80.0,8
0x42265ebd75d8a161da06ae3f7ccd43665bba269e,1140,52.8,8
0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,1144,108.8,8
0x6b1b0419aab8cee190cdb37a50e75545ea0500c7,1147,24.0,8
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1149,90.0,8
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1150,80.0,8
0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,1153,109.8,8
0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,1154,84.8,8
0x5e71dce31312ecf6110e552c8d8a5fe34cd6c8dd,1157,108.8,8
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1159,83.2,8
0xf6e08b16b96eca49dd098359dba9ea894ef4cf47,1169,76.8,8
0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,1170,92.8,8
0x554d0c1f3e79b80fa41f9be17d6406d934f76427,1171,94.4,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1177,108.8,8
0x8a44e65288dc50c6bf8931e1e8216b5fb77f01eb,1178,108.8,8
0x83d498de2ef7de7076768c0f5a660e9433f45b22,1187,68.8,8
0x9fed225115a1374c7f0faef307d471c80fff1893,1209,64.0,8
