,wallet,moca_id,moca_xp,week
405,0xb3012e44cac8fe92704ba59ff25054a710ad179e,1638,124.0,13
407,0x7d5bc36f06585f6333032b6894f7a82766dfab42,3915,120.0,13
410,0xdba6aee7c7fdecb323d0fdef1900fc99d76ffc38,6176,146.4,13
413,0x5c5c093f9116a2380f19f7af591a190362229cce,4863,124.0,13
415,0x88961f034bbdc961c18114430fa6d8ced9c93c5f,2872,124.0,13
418,0xe224a464e5b021636474a89c5b4bcb46dbd1da25,6810,130.0,13
419,0xea9aaa635142aae3c710986f7be0a18ba02efb41,6417,146.4,13
420,0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,2112,175.8,13
425,0xa886bc501a3b6ce40c26c6a87422109763e7dbc8,3069,124.0,13
426,0x62763a0d45eb16efe2b9f2f30743be0e6ec3a207,1432,122.0,13
428,0x32d0d915ea7980ea480b1101124ae6f8c12d6d01,2374,122.0,13
440,0xc4f6651679ecadb40bd0aa257f015ed366029a01,2940,124.0,13
441,0x448260e4e4ca02a4770c543a91ab63b365b5db4b,3035,107.0,13
454,0x92373997819b0e4529be7988eea4bedd4d276f74,4845,172.8,13
456,0xc23a60d800279d338e0a73be5f1a639ff2f492a0,5289,120.0,13
458,0x10b45ad30edf9d2ff7999adebf1b6a02855100a0,3764,115.6,13
463,0xa6b133935e4d9de6a8c7a29f93d6da400a365585,2130,153.4,13
464,0xb3012e44cac8fe92704ba59ff25054a710ad179e,1637,124.0,13
466,0xfe8d0058f84512673d998a0159efbc5a6383041c,5922,104.0,13
470,0x13b7f9af9dce8aa7cd978d766ab9758474221e8a,1715,134.0,13
471,0x8672f7c9e345385aade6c3ca28849d95d79477de,6652,120.0,13
475,0xdba6aee7c7fdecb323d0fdef1900fc99d76ffc38,6177,146.4,13
476,0xde9991ec0533e2c874cc9298097e9cf5db523f76,2438,120.0,13
481,0xf1d0e6348d64d287288b5518911a816e3361cb1f,2479,123.0,13
482,0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,6577,130.8,13
485,0x96fc7958f554c723b5b7535329bec55a91ebfda3,5366,120.0,13
493,0xfe66599492c188be800de6cec6d6672ff785ebf5,2057,52.0,13
495,0xf1d0e6348d64d287288b5518911a816e3361cb1f,2478,123.0,13
498,0x422b59b27742885dc687c4bfef9a2e15051b0b37,1956,115.0,13
501,0xc564369c69c41f5b2ab9e29511413250de0e1656,5474,124.0,13
502,0x1cd50df53ea17c2b98a18fd65de2df173339296e,2288,136.0,13
503,0x58f96c1d46db3a967c7dd33f1a3f0b601745d05b,1515,148.0,13
504,0xc2ba2b009a9a8f12fdabed184412120fb072d620,6367,152.0,13
508,0x0e400b23cbb2e24ce5d6981ff0ac3f07a22978ca,1493,120.0,13
509,0xa20e90bebe4c230b991d26464e0726a2d6d9dff8,3433,120.0,13
513,0x92373997819b0e4529be7988eea4bedd4d276f74,4153,160.8,13
516,0x98031df9d5ebab33f752c07e56e6531e5e59336c,2815,123.0,13
519,0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,5981,119.2,13
520,0x3a2e70c82b6fd09bd07f33f323bf29f596c6c558,3263,123.0,13
521,0x3F94bF2de1874504a58F40012180eD06766cECc8,6813,118.0,13
531,0x401cd38700507d5486bfe62aad07bb235c84948b,5373,128.8,13
532,0xdba6aee7c7fdecb323d0fdef1900fc99d76ffc38,6915,158.4,13
533,0xc1ea534f63854ba2d3c32fdcd9cd34a9c239aaaa,2175,120.0,13
536,0xc2ba2b009a9a8f12fdabed184412120fb072d620,3231,91.6,13
543,0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,2375,172.8,13
544,0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963,3290,158.8,13
548,0x88961f034bbdc961c18114430fa6d8ced9c93c5f,2873,141.0,13
549,0xb680b74608a617f7cb6f9a1faf86c2e8d2edfce1,7131,104.0,13
555,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,1083,174.8,13
556,0xcf8311ff3ffa3cc62fc85e9589e688eb122513d4,3532,134.0,13
562,0xf57439b647b5d2ba7309b5b58eaadefa69238926,6723,92.0,13
568,0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,2093,138.8,13
569,0xa5582069f568e1cd91cd8c6f9f5d0494108c1275,6277,104.0,13
570,0x7c1023815895a8a67b6c44a07f85228df0d7407c,2877,122.0,13
571,0xb5f51b8706d5d8b430701a452525ad847aa33114,5453,120.0,13
578,0x2f75ffe98046e4a55fa79daf97b2730d7e707186,1451,32.0,13
579,0x720ccbe5cbc04f0c6331162a77690fbf4d13533a,5530,124.0,13
581,0x134f89fa9c8dcf62c1e1f4aeb0fe9c9d5e69920a,5272,124.0,13
583,0xc23a60d800279d338e0a73be5f1a639ff2f492a0,5288,120.0,13
597,0x5572d2b679481f68680506b39043e253a5bb35fe,6038,124.0,13
599,0xa5582069f568e1cd91cd8c6f9f5d0494108c1275,4143,92.0,13
600,0x0be708eafc31a270707f8b8a4ac0259b54b4740f,2368,159.2,13
605,0x1cd5c81f65c568a8e73473784c34964e2412b421,1012,128.8,13
608,0xddf073d4ba8382db3db5654f192e4b1ff439e331,3067,122.0,13
609,0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,1497,153.2,13
618,0x2911b8430aec1dfe8659403ffd633438793f7956,3189,118.4,13
620,0xc74c9d67fa6020debd5963669b87327ab7f14a1e,2156,123.0,13
621,0x2c39b8c5b9d31299449474a4d0bcd8f9a32751e4,5132,97.6,13
624,0xba943f9a82e378eac5c33bbc92263e82ee64f50b,1330,135.8,13
629,0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2719,148.8,13
636,0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,1153,155.8,13
642,0xe34ee53f045293fd21aea306c33cb862f5ec8eb4,1806,122.0,13
653,0xd2f0ecf976ba28259a42ff7b38c8279453e21f2b,5241,120.0,13
656,0xec1885e733c48350bd763aefbc7d2efc432bdc9c,4721,122.0,13
658,0x423902bfc4699e6c78b971c1aed54b39dfc675ac,5341,124.0,13
661,0x57bc43ffb972f3c6d687240a856a261ca133e4e5,1382,130.0,13
662,0xea9aaa635142aae3c710986f7be0a18ba02efb41,3994,146.4,13
670,0x574c6ed03833e957dbd13257e27d29a00bb08c61,5386,140.0,13
674,0x4c1ad1644bd23876031573fa3bae26cd35e4ee41,4548,124.0,13
675,0xf91689a8581b9efd80a1b273ec730828f7ea0628,5318,120.0,13
677,0x3e06bd0bce5301af7a186d7f33478ad227df984a,2256,123.0,13
680,0x28031c6b998392d83709871162f892eca9e2f880,3485,116.0,13
681,0x2f923012fc0733e9c12e5547ff170c890b5684bb,5960,146.4,13
683,0xba943f9a82e378eac5c33bbc92263e82ee64f50b,2492,123.2,13
685,0xeeb5d255d45e47e5d6532cc3775986d456bbe1b6,2615,122.0,13
688,0x5e993c7f296d21ed2412960826f61c89a786e13f,5334,123.0,13
689,0x5b34d7917840fac7e91973abdd5647ae5eeccbaa,2038,130.8,13
693,0x92373997819b0e4529be7988eea4bedd4d276f74,6009,158.8,13
695,0xc2a040ec4c07a397780683c698ede727847ae412,2911,104.0,13
699,0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963,3291,127.8,13
702,0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,1154,130.8,13
711,0x89ab095e65810d1cf3582c52159220cee5ba3bb2,4630,124.0,13
713,0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,2430,144.0,13
718,0xd589286a2c8e633a7c1c3adbbc19e53c790932c6,4072,125.0,13
724,0x379d7624d08bd598f2353b7a38b0be708a85227d,8167,120.0,13
726,0xc1ea534f63854ba2d3c32fdcd9cd34a9c239aaaa,2174,143.0,13
731,0x6cc4ead03b6fda979fa33b40546ba5d09c35396a,1067,121.2,13
736,0xa886bc501a3b6ce40c26c6a87422109763e7dbc8,1164,120.0,13
740,0xb663d5ba61842314c6c9011102e8baddb282487d,1086,124.0,13
742,0x97b4b4ac02486ce8b5327b8d86b3688d49b9663d,5196,123.0,13
745,0x6f698c01fc0cdcd85905c2afd36feb60e0fa97bd,5224,123.0,13
746,0x09513093c418a840136e9c09e9307f0c21cade9f,954,122.0,13
748,0x538b436d765cb508a1dd26b6f014b5eb3b29e8bf,1988,120.0,13
754,0x729351eddbea0e7fbe184edcac7f41de0dbfc688,1227,123.0,13
757,0x7a195e1d1d09e9a3bfb3e3be4e2d3b1462f7c6c8,5864,125.6,13
759,0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1150,124.0,13
760,0x2f923012fc0733e9c12e5547ff170c890b5684bb,2814,148.4,13
764,0x84e9122ace5d7d22dceed7f56bd65d60bad87c4d,3430,114.2,13
765,0x82636b0d51ed02132d445d3c32a57280a0625053,6060,123.0,13
766,0x2294476a8b4d6c5b7f87c3a1e6c823f6117c45c2,2215,137.0,13
767,0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2394,123.0,13
769,0xd898038ad440ef8f981c8bb62bc9e1defd29f27c,3206,123.0,13
774,0x401cd38700507d5486bfe62aad07bb235c84948b,5372,128.8,13
776,0xa9e72fb863cab3de32e68b9f990d3f894d7fa9e1,4320,124.0,13
778,0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,3024,176.8,13
779,0x69486873ea8e52151a464f4a5a92c8609171a954,1856,124.0,13
781,0x32d0d915ea7980ea480b1101124ae6f8c12d6d01,2373,139.0,13
785,0xe517f5274a21c74ae230d99010ad11992d0e836b,1457,116.0,13
787,0x122a4dd4b8b95b36f3987055f7d52d16589299d1,6258,123.0,13
788,0x648909d5537d782761245be9b4fb3f10122d70ae,5481,124.0,13
793,0x7a195e1d1d09e9a3bfb3e3be4e2d3b1462f7c6c8,5888,146.6,13
802,0x89ab095e65810d1cf3582c52159220cee5ba3bb2,4631,124.0,13
806,0xd1dfd0124330e14a10408982873585d255301d4a,5361,124.0,13
807,0xec1885e733c48350bd763aefbc7d2efc432bdc9c,4722,122.0,13
810,0x03351328843940bb13b014d3acf3debf9fa75525,1867,104.0,13
813,0xf99fed074278106fc330ce704ab5596a3d65ffc3,5409,124.0,13
817,0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,2622,128.8,13
818,0xba943f9a82e378eac5c33bbc92263e82ee64f50b,4514,89.6,13
819,0xba1d5693c869a3754f5e57dd7c336dabe35ab878,5287,160.8,13
823,0x21cb5ba7e40eb0d547cfe5a6e1524d10a77dd11e,2992,115.8,13
825,0x7d5bc36f06585f6333032b6894f7a82766dfab42,3916,120.0,13
826,0xfa63a0cc1c26a78bca88991f15ebb6689f60b3ec,6330,134.0,13
827,0x648909d5537d782761245be9b4fb3f10122d70ae,5482,124.0,13
828,0x4c9d50ccac81b7473c222845531dc37f1c416166,4657,128.8,13
831,0xe4555943a42d7f00358dc717dba52499ceb165a6,4599,120.0,13
834,0xfda61e21f32a86562f37916b9e714373748ee0df,2601,124.0,13
835,0x515f569a8530b3bdb73fb8bd69f4bc845435e04a,2518,72.0,13
838,0xb0030f96a205e89817e68520838fd2b8401cfc1c,6571,118.0,13
839,0x5e7fba8becafabbcbbad02674d41f9cd6a0d01d5,6245,124.0,13
841,0xc564369c69c41f5b2ab9e29511413250de0e1656,5473,124.0,13
844,0x574c6ed03833e957dbd13257e27d29a00bb08c61,3213,126.8,13
851,0x423902bfc4699e6c78b971c1aed54b39dfc675ac,5340,124.0,13
856,0x51c6f394372be78a6264f8fe784cde83c8a86530,5264,120.0,13
857,0x268e94649f4f2b7609d012494783d908f051fe74,2590,131.0,13
860,0x8fb8e00c7f18c9825ef62497978fe35a2748aaf3,5189,139.6,13
863,0xc42a239a4a553c381c47bcb9ffeeb920ea47fbf5,1179,120.0,13
864,0x1cd5c81f65c568a8e73473784c34964e2412b421,3233,132.8,13
872,0x51c6f394372be78a6264f8fe784cde83c8a86530,5265,120.0,13
878,0x5edf0b0c1b6d78bcef494243801dc594944a392b,3615,34.0,13
880,0xbc5e44596816cbe3d45318a3a124f8328c417cde,1218,168.0,13
881,0x64220b85356c2e31aa5b2dd79322dbab63d05f22,2722,122.0,13
883,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,2326,140.8,13
886,0x1cbf3b005a908891ff209386381a1e3d97e2978d,2701,139.0,13
888,0x19f334f9ff4e6fec21601c46b22e96ad040edcec,4491,106.0,13
893,0x64220b85356c2e31aa5b2dd79322dbab63d05f22,2721,132.0,13
895,0x622b02af44e1ab16ee5fffdb61b4e2bd1cebd9e4,4537,162.4,13
896,0xea9aaa635142aae3c710986f7be0a18ba02efb41,4182,134.4,13
897,0x62f2b8e5019d0be560c6e91e451fe3fb9df489ae,1146,108.0,13
901,0xba53659c7d23112710983b803c641ea219094a43,3559,120.0,13
904,0xcee0c9022120a24c720516247c8118c7be175ae8,6465,122.0,13
905,0xffc9a5ecf39dba2bf0b8b2c4d843bfd70b1a6082,1318,116.8,13
907,0xba943f9a82e378eac5c33bbc92263e82ee64f50b,4753,101.2,13
908,0x4a791828f3b69c760b111cfcbcc20b1f93f4f3b5,1571,107.0,13
909,0x1584df90cb8ffda66d0d3b6b64ef7bfbdca191b8,1362,123.0,13
911,0xadc9a18966fa61a42687d32a6ad3936d67f06394,3690,107.0,13
912,0xea9aaa635142aae3c710986f7be0a18ba02efb41,1009,134.4,13
929,0x7b2758ef11d152becab8c9aa3f0f7a43c1075ab9,6229,99.0,13
930,0xb6503e2d9242cf3d887a779a06fd8e596f6cddd5,6486,106.0,13
931,0x928d76060576697e56221ba0d1b04015934e4fd9,5589,123.0,13
934,0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,3023,176.8,13
936,0x06b181369289d8ce2643b8a0f4758f70d8446d79,6030,123.0,13
940,0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,2231,175.8,13
942,0x39f4da389fef57165bd470eb422c755e271f785b,2069,136.0,13
945,0x319ea9a4fd2a189002765316cdef8360c1f98ea2,1992,143.0,13
946,0x4dc6f3fcb8ffea27c274966af0b8b1fd033614ad,4168,68.6,13
949,0x87513320f99621170ebbdc04f4c1f64d4261c653,2592,140.0,13
950,0x46fb16917b38f86ab128cc946b45b250261848ff,2669,114.0,13
951,0x12b93dbca5cce9338756175da1fa51dbdacdf3b1,2554,96.0,13
954,0xdba6aee7c7fdecb323d0fdef1900fc99d76ffc38,6112,149.4,13
960,0xbc5e44596816cbe3d45318a3a124f8328c417cde,5017,140.0,13
962,0x06d652917200b7a5516223e0dd3f38b8767e7299,5407,124.0,13
965,0xc337828780cc53b4c76041b3fddbf2f8f2a7cfd0,5468,124.0,13
971,0x3a2e70c82b6fd09bd07f33f323bf29f596c6c558,3264,123.0,13
973,0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,2071,124.0,13
977,0xd589286a2c8e633a7c1c3adbbc19e53c790932c6,3573,107.0,13
978,0xe9ca01dbfaeda9ed9a0591400ae168719287e0ac,4617,80.0,13
980,0x3df89cc65bb96b62cb6c0afc21c6205f547f4565,3716,124.0,13
988,0x97b4b4ac02486ce8b5327b8d86b3688d49b9663d,5195,123.0,13
989,0x1da5735648d5c6f8a0c164bd2d18ef13699a8e99,4807,115.0,13
991,0x5307da2782c2641180abd2b92b647c4245ea65c7,1300,124.0,13
992,0x8e0f45ebdb09f0ccbd1961605265d5c12b363030,1424,176.8,13
997,0xc2ba2b009a9a8f12fdabed184412120fb072d620,2427,136.0,13
1002,0x17a78ba19bb7968c7678315c7f8682264ca4fe49,6131,120.0,13
1005,0x2f923012fc0733e9c12e5547ff170c890b5684bb,3115,150.4,13
1006,0x06d652917200b7a5516223e0dd3f38b8767e7299,5408,124.0,13
1007,0xc2ba2b009a9a8f12fdabed184412120fb072d620,3808,116.0,13
1008,0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2717,148.8,13
1013,0x25c805eaa831a0c98f45580e50676e041dcc87b8,2108,134.0,13
1014,0x2f923012fc0733e9c12e5547ff170c890b5684bb,5961,146.4,13
1015,0x1584df90cb8ffda66d0d3b6b64ef7bfbdca191b8,3138,140.0,13
1016,0xff5ad07002d876bbb63a17d3f5bab8f63f034e1e,4810,107.0,13
1018,0xde9991ec0533e2c874cc9298097e9cf5db523f76,1976,143.0,13
1020,0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,1170,158.8,13
1028,0xda1e9c631ace798036d2650f0283e63bc546f213,6387,161.4,13
1036,0x1358726ef028313b1d3f3143f120299709912be1,2549,124.0,13
1048,0xc2ba2b009a9a8f12fdabed184412120fb072d620,4914,135.0,13
1050,0xba1d5693c869a3754f5e57dd7c336dabe35ab878,2718,148.8,13
1051,0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1149,134.0,13
1058,0x92373997819b0e4529be7988eea4bedd4d276f74,1509,156.8,13
1063,0xea9aaa635142aae3c710986f7be0a18ba02efb41,2199,149.4,13
1064,0xfe66599492c188be800de6cec6d6672ff785ebf5,3476,83.2,13
1066,0x9332aadd6c45d8e11311f0ef87bc288e0316f7a5,2089,175.8,13
1067,0x1eebf4c9550db3e82d20f965d79d06e589532733,3738,123.0,13
1068,0xf99fed074278106fc330ce704ab5596a3d65ffc3,5410,124.0,13
1081,0xba1d5693c869a3754f5e57dd7c336dabe35ab878,1863,116.8,13
1091,0xb6503e2d9242cf3d887a779a06fd8e596f6cddd5,6487,122.0,13
1094,0x9ea94e31853c76c6912b6903027bb8f456e9f8ea,3702,134.0,13
1097,0xb4c37c7ad3b83b66c4848d24f19a48aafff00d56,1328,140.4,13
1098,0x92373997819b0e4529be7988eea4bedd4d276f74,3194,159.8,13
1103,0xd98e0e55c31aec33dca7065ba2fbe7cbcdf94829,3055,134.0,13
1104,0x23275c308f4ba60cecb2520033a457d6ea1b04e0,2423,124.0,13
1106,0x1e755aad3074fd54fcf44738826b1277b8b1c766,1512,147.0,13
1108,0x79c39331bf0d2356db53cee2dc8a5b42cf8dce36,1048,120.0,13
1112,0x9c421d817d620c80cdbe65919d2441ff3560a640,4620,121.0,13
1113,0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,4512,134.0,13
1119,0xbd1cc7c77fc8e1171c2f0666835e1dcb8462ae68,1041,135.0,13
1120,0x5c5c093f9116a2380f19f7af591a190362229cce,4864,124.0,13
1121,0xb198e474ac47a5ab7be2c8889a59503981824126,4731,124.0,13
